id,title,department,required_skills,experience_level,min_experience_years
608,"AI & ML Engineer","Engineering","{Data Bricks,Photoshop,Tailwind CSS,After Effects,Pandas}",Junior,0
609,"Data Scientist","Product","{Photoshop,Python,Go,Pandas,Redis}",Senior,6
610,"Frontend Engineer","Engineering","{React,Blender,Next.js,Figma}",Senior,7
611,"Data Scientist","Marketing","{AWS,Photoshop,Data Bricks,Affinity}",Mid,3
612,"Site Reliability Engineer","Product","{Affinity,Photoshop,Sass,Go,Next.js}",Junior,1
613,"Frontend Engineer","Developer","{After Effects,Terraform,Next.js}",Junior,1
614,"Tester","Product","{Vue.js,Next.js,AWS,React,TypeScript}",Junior,0
615,"Full Stack Engineer","Design","{Terraform,Figma,Kubernetes,Docker,After Effects,Tailwind CSS}",Lead,9
616,"Full Stack Engineer","Infrastructure","{Python,Node.js,TypeScript,Blender,Terraform}",Lead,8
617,"DevOps Specialist","Engineering","{Figma,Affinity,Redis}",Lead,8
618,"Game Developer","Infrastructure","{Data Bricks,GraphQL,TensorFlow,Kubernetes,Docker}",Senior,7
619,"Game Developer","Marketing","{Docker,TypeScript,Photoshop,React,After Effects}",Senior,6
620,"UI/UX Designer","Engineering","{Docker,TypeScript,Framer}",Senior,5
621,"Backend Developer","Data & AI","{AWS,Affinity,React,TensorFlow}",Mid,4
622,"Mobile Developer","Marketing","{Photoshop,Redis,After Effects}",Mid,4
623,"AI & ML Engineer","Design","{Blender,Node.js,Pandas}",Junior,1
624,"Data Scientist","Infrastructure","{Node.js,Python,AWS,Next.js,Sass}",Senior,5
625,"Tester","Infrastructure","{Sass,Node.js,After Effects,Terraform,Next.js}",Junior,0
626,"UI/UX Designer","Infrastructure","{Next.js,Go,Python,Tailwind CSS,Blender}",Lead,11
627,"Frontend Engineer","Developer","{Photoshop,Figma,Docker}",Junior,1
628,"DevOps Specialist","Design","{React,Next.js,Framer}",Mid,3
629,"Data Scientist","Engineering","{After Effects,Python,Node.js}",Junior,0
630,"AI & ML Engineer","Data & AI","{AWS,React,Kubernetes}",Senior,5
631,"Full Stack Engineer","Infrastructure","{Terraform,Data Bricks,React,TensorFlow}",Lead,8
632,"Game Developer","Engineering","{Pandas,Terraform,Python,Data Bricks,Go,React}",Lead,9
633,"AI & ML Engineer","Developer","{Vue.js,AWS,Sass,Kubernetes,Tailwind CSS,GraphQL}",Lead,10
634,"Game Developer","Developer","{Terraform,Python,Pandas,Tailwind CSS,Photoshop}",Junior,1
635,"Game Developer","Marketing","{Data Bricks,PostgreSQL,TensorFlow}",Mid,3
636,"Site Reliability Engineer","Infrastructure","{After Effects,Tailwind CSS,TypeScript,Framer}",Junior,1
637,"Game Developer","Engineering","{TypeScript,Pandas,Redis,Docker}",Mid,4
638,"Data Scientist","Developer","{Kubernetes,Photoshop,React,Tailwind CSS,GSAP,TypeScript}",Junior,0
639,"Mobile Developer","Engineering","{GraphQL,Affinity,Vue.js}",Lead,8
640,"Frontend Engineer","Marketing","{TensorFlow,Vue.js,Framer,AWS,Go}",Senior,6
641,"UI/UX Designer","Data & AI","{GraphQL,Pandas,Python,PostgreSQL}",Senior,5
642,"Backend Developer","Marketing","{GraphQL,Terraform,Redis,Kubernetes,React,Affinity}",Junior,0
643,"Tester","Developer","{React,After Effects,Sass,PostgreSQL,Redis}",Mid,3
644,"Game Developer","Engineering","{Terraform,React,Blender}",Senior,7
645,"Frontend Engineer","Marketing","{Node.js,PostgreSQL,TensorFlow}",Junior,1
646,"Site Reliability Engineer","Product","{Next.js,React,TypeScript,Framer,Blender,Sass}",Junior,0
647,"AI & ML Engineer","Engineering","{Node.js,Kubernetes,Affinity,Figma,Blender}",Lead,10
648,"Game Developer","Data & AI","{GSAP,Next.js,Figma}",Junior,1
649,"AI & ML Engineer","Marketing","{React,Next.js,AWS,Figma,Affinity}",Lead,9
650,"UI/UX Designer","Engineering","{Photoshop,Framer,Node.js,Next.js}",Senior,6
651,"Site Reliability Engineer","Developer","{React,TypeScript,Photoshop,Vue.js,Next.js}",Mid,4
652,"AI & ML Engineer","Marketing","{GSAP,Python,Affinity}",Junior,0
653,"Backend Developer","Infrastructure","{Kubernetes,GraphQL,PostgreSQL}",Junior,0
654,"Frontend Engineer","Design","{Redis,TensorFlow,React,Docker}",Mid,3
655,"Full Stack Engineer","Marketing","{After Effects,Node.js,Docker,Framer,Tailwind CSS,Python}",Senior,7
656,"Tester","Engineering","{Node.js,Docker,Pandas,Photoshop,Kubernetes,Python}",Junior,0
657,"DevOps Specialist","Developer","{Docker,Framer,Sass}",Junior,1
658,"AI & ML Engineer","Infrastructure","{AWS,Vue.js,Sass,React}",Mid,3
659,"Full Stack Engineer","Product","{Photoshop,Figma,PostgreSQL,Kubernetes}",Junior,0
660,"UI/UX Designer","Marketing","{Next.js,After Effects,Data Bricks,Framer,Pandas,Python}",Senior,5
661,"Game Developer","Developer","{Affinity,Kubernetes,AWS}",Junior,0
662,"Full Stack Engineer","Developer","{After Effects,Python,Terraform,Kubernetes,Figma,Node.js}",Lead,9
663,"Tester","Engineering","{Next.js,Sass,Redis}",Junior,1
664,"Site Reliability Engineer","Developer","{Docker,Sass,React,Tailwind CSS,Figma}",Lead,11
665,"Full Stack Engineer","Engineering","{Kubernetes,Figma,After Effects}",Junior,1
666,"Full Stack Engineer","Engineering","{Affinity,Framer,After Effects,Figma,Docker,Blender}",Junior,1
667,"Mobile Developer","Design","{React,Terraform,Tailwind CSS,Next.js,GraphQL}",Junior,1
668,"DevOps Specialist","Engineering","{Vue.js,Photoshop,React}",Senior,5
669,"Full Stack Engineer","Data & AI","{After Effects,AWS,Blender,Go,Terraform}",Senior,7
670,"Full Stack Engineer","Engineering","{Node.js,GSAP,Redis,After Effects,Python}",Lead,10
671,"Game Developer","Marketing","{Blender,Docker,Python,After Effects}",Lead,10
672,"Full Stack Engineer","Marketing","{TypeScript,Terraform,Vue.js,GraphQL,Pandas,Photoshop}",Mid,2
673,"DevOps Specialist","Data & AI","{Node.js,Docker,Framer,Kubernetes,After Effects,Tailwind CSS}",Lead,11
674,"Mobile Developer","Marketing","{TensorFlow,Redis,Blender,Tailwind CSS}",Lead,9
675,"Mobile Developer","Engineering","{Affinity,Docker,Node.js,Redis,Sass,Figma}",Mid,2
676,"Backend Developer","Infrastructure","{Go,TensorFlow,Python,Data Bricks,GraphQL,Node.js}",Mid,2
677,"Backend Developer","Engineering","{Pandas,TypeScript,PostgreSQL,Affinity}",Lead,10
678,"UI/UX Designer","Infrastructure","{Framer,Tailwind CSS,Docker}",Junior,0
679,"Full Stack Engineer","Marketing","{Kubernetes,Figma,Data Bricks}",Lead,9
680,"Tester","Data & AI","{Docker,Python,Sass,Kubernetes,Data Bricks}",Senior,6
681,"Mobile Developer","Marketing","{Figma,Kubernetes,Affinity,Pandas}",Lead,9
682,"Mobile Developer","Data & AI","{Kubernetes,Docker,PostgreSQL}",Senior,6
683,"Game Developer","Product","{Next.js,Node.js,Photoshop,Figma,PostgreSQL}",Lead,9
684,"Mobile Developer","Data & AI","{Affinity,Kubernetes,Node.js,Pandas,Next.js}",Lead,9
685,"Backend Developer","Engineering","{Pandas,Python,After Effects}",Junior,0
686,"Backend Developer","Product","{Vue.js,React,TensorFlow,Next.js}",Senior,6
687,"Tester","Infrastructure","{TypeScript,Docker,Python,Framer,GraphQL,PostgreSQL}",Lead,8
688,"UI/UX Designer","Product","{Kubernetes,Data Bricks,After Effects,PostgreSQL,Redis}",Mid,4
689,"Full Stack Engineer","Developer","{Next.js,GraphQL,GSAP,TypeScript}",Lead,11
690,"Tester","Engineering","{Figma,Redis,Pandas}",Lead,9
691,"UI/UX Designer","Product","{AWS,Docker,Framer,TensorFlow,Vue.js,GraphQL}",Lead,9
692,"UI/UX Designer","Design","{Framer,Sass,Python,TypeScript,Kubernetes}",Mid,3
693,"Game Developer","Developer","{Redis,TensorFlow,AWS,React,Figma}",Junior,0
694,"Full Stack Engineer","Data & AI","{React,Vue.js,Go,TypeScript}",Lead,11
695,"Data Scientist","Infrastructure","{React,After Effects,GSAP,Docker,TensorFlow}",Mid,3
696,"Full Stack Engineer","Developer","{React,Affinity,AWS,Redis,Next.js}",Junior,0
697,"Game Developer","Developer","{Terraform,TypeScript,Data Bricks}",Junior,1
698,"DevOps Specialist","Product","{Figma,TypeScript,Terraform}",Mid,2
699,"DevOps Specialist","Product","{Go,React,Next.js,Node.js,After Effects}",Junior,0
700,"Game Developer","Marketing","{Python,React,Docker,Framer,Terraform,TypeScript}",Senior,7
701,"Data Scientist","Infrastructure","{Kubernetes,Blender,Go,Terraform,Vue.js}",Junior,0
702,"Data Scientist","Data & AI","{Pandas,AWS,Affinity,PostgreSQL,Vue.js,GSAP}",Lead,8
703,"Mobile Developer","Product","{Photoshop,TypeScript,React,Go,After Effects}",Junior,0
704,"Backend Developer","Design","{Next.js,Framer,GSAP,Pandas,TypeScript,React}",Senior,7
705,"Mobile Developer","Developer","{GSAP,Kubernetes,Tailwind CSS,Sass,Framer,Blender}",Lead,8
706,"Site Reliability Engineer","Design","{Node.js,After Effects,TensorFlow,GraphQL,Pandas,TypeScript}",Junior,0
707,"Frontend Engineer","Product","{Tailwind CSS,Terraform,Node.js,Photoshop,Framer}",Senior,6
708,"Site Reliability Engineer","Design","{Pandas,Docker,Kubernetes,Node.js,TypeScript}",Lead,8
709,"DevOps Specialist","Design","{TypeScript,Docker,Photoshop,After Effects,Pandas}",Senior,6
710,"AI & ML Engineer","Infrastructure","{Sass,React,Framer,Figma,Docker,Kubernetes}",Junior,1
711,"Mobile Developer","Infrastructure","{Terraform,React,GraphQL,Next.js}",Junior,0
712,"Data Scientist","Data & AI","{Data Bricks,Kubernetes,GraphQL}",Mid,3
713,"Site Reliability Engineer","Data & AI","{Pandas,Python,Data Bricks,Kubernetes,Docker,Sass}",Junior,1
714,"Tester","Developer","{React,Framer,TypeScript,AWS}",Senior,6
715,"Tester","Marketing","{Terraform,After Effects,Framer}",Junior,0
716,"Site Reliability Engineer","Developer","{Sass,Pandas,Next.js}",Junior,1
717,"Data Scientist","Engineering","{Python,Vue.js,GSAP,TensorFlow}",Senior,5
718,"Game Developer","Data & AI","{Figma,Docker,Photoshop,Terraform,Vue.js,React}",Junior,0
719,"Frontend Engineer","Engineering","{TypeScript,Data Bricks,Affinity,Next.js}",Senior,6
720,"Mobile Developer","Infrastructure","{Redis,Next.js,TypeScript,TensorFlow}",Junior,1
721,"Mobile Developer","Marketing","{AWS,React,Redis}",Junior,1
722,"DevOps Specialist","Data & AI","{Framer,Photoshop,PostgreSQL}",Junior,0
723,"Frontend Engineer","Product","{Node.js,After Effects,GSAP}",Junior,1
724,"Full Stack Engineer","Product","{Figma,Pandas,After Effects,Docker}",Junior,1
725,"Frontend Engineer","Design","{Affinity,PostgreSQL,Vue.js,Sass,Next.js,Framer}",Junior,1
726,"Full Stack Engineer","Product","{TypeScript,Python,Node.js,PostgreSQL,Next.js,Blender}",Lead,8
727,"Tester","Design","{Python,Figma,React,Data Bricks}",Lead,9
728,"Backend Developer","Marketing","{Figma,Python,Blender,Vue.js,After Effects,Next.js}",Junior,1
729,"Full Stack Engineer","Infrastructure","{Sass,React,Framer}",Lead,9
730,"AI & ML Engineer","Product","{Redis,Node.js,Pandas}",Senior,6
731,"Tester","Infrastructure","{Data Bricks,Python,Node.js}",Mid,2
732,"UI/UX Designer","Data & AI","{Vue.js,Tailwind CSS,React,Blender,Figma}",Mid,4
733,"UI/UX Designer","Developer","{Python,Docker,Blender}",Senior,7
734,"Mobile Developer","Infrastructure","{Affinity,Blender,Vue.js}",Junior,0
735,"Mobile Developer","Developer","{GSAP,Python,After Effects}",Lead,8
736,"Site Reliability Engineer","Developer","{Framer,Sass,Blender,GSAP}",Mid,2
737,"Mobile Developer","Marketing","{GraphQL,React,Blender,Redis,Framer}",Junior,1
738,"UI/UX Designer","Engineering","{GSAP,After Effects,React,Redis,Data Bricks}",Senior,6
739,"Data Scientist","Developer","{TypeScript,After Effects,PostgreSQL,GSAP,Pandas,TensorFlow}",Mid,4
740,"Game Developer","Developer","{React,Docker,Vue.js,Next.js,PostgreSQL,AWS}",Lead,8
741,"Mobile Developer","Marketing","{Terraform,Kubernetes,After Effects}",Mid,2
742,"AI & ML Engineer","Product","{Photoshop,Sass,After Effects,Figma,Kubernetes,Python}",Mid,3
743,"Site Reliability Engineer","Developer","{Python,Node.js,Blender,After Effects,Photoshop,Terraform}",Senior,6
744,"Site Reliability Engineer","Design","{PostgreSQL,Sass,After Effects,Node.js,GSAP,Framer}",Lead,10
745,"Backend Developer","Infrastructure","{Framer,Go,Kubernetes,TypeScript,React,Vue.js}",Senior,5
746,"Backend Developer","Developer","{Next.js,Blender,Vue.js}",Lead,11
747,"Full Stack Engineer","Product","{TensorFlow,Vue.js,React,Affinity,GraphQL}",Mid,4
748,"Full Stack Engineer","Developer","{React,AWS,After Effects,Terraform,Next.js,Docker}",Senior,7
749,"AI & ML Engineer","Developer","{React,Figma,Sass,Data Bricks,Node.js,GSAP}",Senior,5
750,"Game Developer","Engineering","{Framer,Tailwind CSS,Redis,Node.js}",Junior,0
751,"Tester","Data & AI","{Data Bricks,Blender,PostgreSQL,Terraform,Photoshop}",Junior,0
752,"Full Stack Engineer","Engineering","{Vue.js,PostgreSQL,TypeScript,Docker,Sass}",Senior,5
753,"AI & ML Engineer","Marketing","{Affinity,Vue.js,React,Kubernetes}",Mid,4
754,"Mobile Developer","Marketing","{Next.js,Sass,Node.js}",Mid,3
755,"Frontend Engineer","Developer","{Node.js,After Effects,Next.js,Affinity,AWS,GraphQL}",Junior,1
756,"Game Developer","Data & AI","{Framer,Figma,Photoshop,Python}",Senior,6
757,"Mobile Developer","Engineering","{Blender,Python,AWS,Terraform,Sass}",Lead,8
758,"DevOps Specialist","Design","{React,Framer,Redis,Vue.js,Python}",Mid,2
759,"Data Scientist","Engineering","{GraphQL,Sass,React,Affinity,Docker}",Junior,1
760,"DevOps Specialist","Developer","{Redis,AWS,Terraform}",Junior,1
761,"Mobile Developer","Marketing","{Python,GSAP,Next.js,Go,Vue.js,Sass}",Lead,11
762,"Frontend Engineer","Design","{TensorFlow,React,TypeScript,Vue.js,Data Bricks,Redis}",Junior,1
763,"AI & ML Engineer","Marketing","{Photoshop,Pandas,Python,GSAP}",Lead,8
764,"Data Scientist","Infrastructure","{GSAP,Framer,TensorFlow,React,Docker}",Junior,1
765,"Data Scientist","Infrastructure","{Sass,PostgreSQL,Blender,React,Redis,Framer}",Lead,8
766,"Tester","Design","{Photoshop,React,Next.js}",Junior,1
767,"Tester","Engineering","{Redis,Python,Blender,Node.js}",Junior,0
768,"Site Reliability Engineer","Engineering","{Node.js,Python,After Effects,TypeScript}",Mid,2
769,"Tester","Infrastructure","{GSAP,React,Photoshop,Figma,Blender,Tailwind CSS}",Junior,0
770,"Tester","Data & AI","{Framer,Docker,GSAP}",Mid,2
771,"UI/UX Designer","Marketing","{Next.js,Node.js,Pandas,Vue.js,After Effects,PostgreSQL}",Mid,3
772,"Tester","Infrastructure","{Docker,TypeScript,React,AWS,Python}",Mid,3
773,"UI/UX Designer","Product","{Kubernetes,TensorFlow,Photoshop}",Junior,1
774,"Game Developer","Marketing","{Photoshop,Node.js,Vue.js}",Senior,7
775,"Mobile Developer","Design","{Docker,Python,Node.js,GSAP,GraphQL,Sass}",Lead,11
776,"Frontend Engineer","Marketing","{Framer,Data Bricks,Vue.js,React,Next.js}",Junior,0
777,"Frontend Engineer","Product","{React,Go,Next.js,Node.js}",Senior,6
778,"Game Developer","Design","{AWS,Docker,Kubernetes,Data Bricks}",Junior,0
779,"Backend Developer","Data & AI","{Terraform,Docker,Data Bricks,Tailwind CSS}",Senior,5
780,"UI/UX Designer","Data & AI","{Python,GSAP,React}",Junior,0
781,"Game Developer","Engineering","{TypeScript,Framer,TensorFlow}",Mid,3
782,"UI/UX Designer","Data & AI","{Node.js,Affinity,Terraform,Framer,Vue.js}",Mid,3
783,"Mobile Developer","Developer","{Python,Photoshop,React,Figma}",Senior,6
784,"Data Scientist","Infrastructure","{Node.js,Tailwind CSS,Kubernetes,Photoshop,Pandas}",Senior,6
785,"Full Stack Engineer","Developer","{Sass,Photoshop,Next.js,Pandas,Blender,Redis}",Senior,6
786,"AI & ML Engineer","Developer","{Data Bricks,React,Docker,Figma,Kubernetes}",Mid,3
787,"AI & ML Engineer","Marketing","{Next.js,Framer,Blender,Tailwind CSS}",Junior,0
788,"Game Developer","Design","{GSAP,TensorFlow,TypeScript}",Mid,2
789,"UI/UX Designer","Product","{After Effects,Vue.js,Terraform,GSAP,Go}",Senior,5
790,"Data Scientist","Infrastructure","{Sass,Python,Node.js,Data Bricks,Vue.js,After Effects}",Mid,3
791,"Game Developer","Infrastructure","{Sass,Redis,GraphQL}",Lead,10
792,"UI/UX Designer","Design","{React,Vue.js,Tailwind CSS,Redis,Blender}",Junior,1
793,"Game Developer","Marketing","{Node.js,Sass,Go,Pandas,After Effects,Terraform}",Lead,10
794,"Frontend Engineer","Engineering","{Vue.js,TensorFlow,Figma,React,Framer,GraphQL}",Lead,11
795,"Frontend Engineer","Product","{React,Kubernetes,GSAP}",Senior,6
796,"Tester","Design","{Docker,Next.js,Python}",Junior,0
797,"Frontend Engineer","Design","{Blender,PostgreSQL,TypeScript,Framer}",Mid,4
798,"UI/UX Designer","Infrastructure","{Terraform,Kubernetes,React,TensorFlow}",Mid,3
799,"DevOps Specialist","Product","{Tailwind CSS,React,Go,Framer,GSAP}",Senior,6
800,"Full Stack Engineer","Design","{Affinity,Blender,Framer,Data Bricks,After Effects}",Mid,4
801,"UI/UX Designer","Engineering","{Framer,Blender,Vue.js}",Senior,7
802,"Frontend Engineer","Marketing","{Docker,TypeScript,Affinity}",Mid,3
803,"Game Developer","Infrastructure","{Python,Pandas,Framer,Blender,Kubernetes,TensorFlow}",Lead,9
804,"Game Developer","Infrastructure","{Framer,Affinity,Terraform,Data Bricks,React}",Mid,4
805,"Backend Developer","Developer","{GraphQL,Python,Framer}",Junior,0
806,"UI/UX Designer","Developer","{React,Tailwind CSS,TypeScript}",Lead,9
807,"DevOps Specialist","Marketing","{Tailwind CSS,Docker,Kubernetes,After Effects,Python}",Mid,3
808,"Data Scientist","Data & AI","{Framer,Terraform,React,Figma,Blender}",Junior,0
809,"UI/UX Designer","Design","{Docker,GraphQL,Framer,Affinity,Blender}",Lead,9
810,"Data Scientist","Infrastructure","{AWS,GSAP,Figma,Node.js}",Lead,10
811,"Tester","Design","{Affinity,Data Bricks,Redis,React}",Junior,1
812,"UI/UX Designer","Marketing","{Python,Docker,Kubernetes}",Senior,5
813,"DevOps Specialist","Design","{Figma,TypeScript,Redis,Tailwind CSS}",Senior,6
814,"Site Reliability Engineer","Developer","{Python,Figma,Node.js,Affinity}",Lead,10
815,"UI/UX Designer","Infrastructure","{Go,Blender,Next.js}",Lead,8
816,"Tester","Infrastructure","{Data Bricks,Tailwind CSS,Redis}",Lead,10
817,"Frontend Engineer","Design","{Kubernetes,After Effects,Vue.js,Terraform}",Lead,9
818,"Tester","Infrastructure","{Vue.js,Pandas,Python}",Junior,1
819,"Full Stack Engineer","Product","{TypeScript,Tailwind CSS,Affinity}",Lead,10
820,"UI/UX Designer","Infrastructure","{GraphQL,Go,Python,React}",Lead,10
821,"Full Stack Engineer","Infrastructure","{Python,Next.js,Vue.js,TypeScript,Framer,Tailwind CSS}",Mid,4
822,"Game Developer","Infrastructure","{GSAP,React,TensorFlow,Next.js,Affinity}",Lead,11
823,"DevOps Specialist","Developer","{Kubernetes,Figma,Terraform}",Senior,7
824,"Tester","Developer","{TensorFlow,Framer,Go,React,Next.js}",Junior,1
825,"Tester","Engineering","{Node.js,TypeScript,Figma,PostgreSQL,Vue.js,AWS}",Senior,7
826,"Site Reliability Engineer","Infrastructure","{Vue.js,AWS,After Effects}",Senior,5
827,"Tester","Engineering","{TypeScript,React,GSAP}",Junior,1
828,"Data Scientist","Design","{Node.js,Next.js,Terraform}",Mid,2
829,"Data Scientist","Developer","{React,Vue.js,Next.js,Tailwind CSS}",Mid,2
830,"Frontend Engineer","Design","{Photoshop,Terraform,React}",Senior,6
831,"Frontend Engineer","Marketing","{AWS,Photoshop,Affinity,Kubernetes,React,Data Bricks}",Junior,0
832,"Full Stack Engineer","Engineering","{Sass,GraphQL,Blender}",Senior,6
833,"Mobile Developer","Marketing","{TypeScript,AWS,Node.js}",Lead,11
834,"Frontend Engineer","Data & AI","{Kubernetes,Affinity,GSAP,Framer,Sass,Python}",Mid,2
835,"Tester","Design","{Next.js,Node.js,Blender,Redis,Data Bricks,TypeScript}",Senior,5
836,"Tester","Developer","{Affinity,TensorFlow,React,Blender,Redis,Vue.js}",Lead,10
837,"Game Developer","Product","{React,Next.js,Go,Affinity,GraphQL,PostgreSQL}",Junior,0
838,"Full Stack Engineer","Infrastructure","{Kubernetes,Go,Photoshop}",Mid,2
839,"Data Scientist","Product","{Python,Blender,Data Bricks,React,Affinity}",Junior,1
840,"Frontend Engineer","Infrastructure","{Kubernetes,Pandas,Python,Sass}",Senior,6
841,"Tester","Marketing","{Terraform,Docker,GSAP,Sass}",Junior,1
842,"DevOps Specialist","Engineering","{GraphQL,Tailwind CSS,Kubernetes}",Senior,5
843,"Game Developer","Design","{AWS,React,Blender,GraphQL,Kubernetes,Next.js}",Mid,3
844,"Data Scientist","Marketing","{React,Pandas,Sass}",Mid,3
845,"DevOps Specialist","Developer","{Blender,Docker,TypeScript,TensorFlow,Node.js,Python}",Mid,3
846,"UI/UX Designer","Developer","{Python,GraphQL,React}",Mid,2
847,"Game Developer","Infrastructure","{TypeScript,Python,Affinity,PostgreSQL,Go,After Effects}",Senior,5
848,"Site Reliability Engineer","Developer","{GraphQL,Figma,Data Bricks,Framer}",Junior,1
849,"AI & ML Engineer","Design","{Pandas,Redis,Framer,TypeScript,Sass,PostgreSQL}",Lead,10
850,"Full Stack Engineer","Engineering","{Vue.js,GraphQL,Framer,Redis,Next.js}",Mid,3
851,"Mobile Developer","Marketing","{Kubernetes,Data Bricks,AWS,After Effects,Terraform,Vue.js}",Mid,3
852,"DevOps Specialist","Product","{Pandas,Kubernetes,TensorFlow}",Mid,2
853,"Game Developer","Data & AI","{Docker,Tailwind CSS,TypeScript,Figma,AWS}",Lead,11
854,"Frontend Engineer","Product","{Pandas,Node.js,TensorFlow,GraphQL,React,PostgreSQL}",Mid,2
855,"Frontend Engineer","Developer","{Data Bricks,Kubernetes,Photoshop,Python}",Mid,4
856,"Site Reliability Engineer","Product","{Figma,Data Bricks,TensorFlow}",Senior,5
857,"Data Scientist","Marketing","{PostgreSQL,After Effects,Node.js,AWS,Photoshop}",Senior,5
858,"Game Developer","Design","{TypeScript,Redis,Node.js}",Senior,6
859,"Tester","Engineering","{Data Bricks,PostgreSQL,Node.js,Python,Docker,Sass}",Junior,0
860,"UI/UX Designer","Data & AI","{TensorFlow,React,GraphQL,Sass,Terraform}",Mid,4
861,"Mobile Developer","Design","{Vue.js,GraphQL,Framer,Go}",Mid,3
862,"Mobile Developer","Marketing","{Vue.js,Framer,Docker}",Lead,8
863,"Tester","Engineering","{Go,Vue.js,Kubernetes,Node.js}",Senior,5
864,"Site Reliability Engineer","Developer","{Next.js,Python,React,Photoshop,Framer,Terraform}",Lead,10
865,"Mobile Developer","Engineering","{TypeScript,Node.js,Figma,AWS,Next.js,Tailwind CSS}",Lead,9
866,"Site Reliability Engineer","Infrastructure","{Node.js,Kubernetes,Redis,AWS}",Lead,11
867,"Game Developer","Design","{Affinity,Node.js,Python}",Mid,3
868,"Game Developer","Engineering","{Go,Vue.js,Blender}",Junior,1
869,"Frontend Engineer","Engineering","{PostgreSQL,AWS,React,Go,Tailwind CSS,Sass}",Junior,1
870,"AI & ML Engineer","Marketing","{React,Next.js,Node.js,Go}",Junior,0
871,"Tester","Product","{Docker,Sass,Framer,Redis}",Lead,10
872,"Tester","Developer","{Next.js,Python,Go,Vue.js,Pandas}",Lead,11
873,"DevOps Specialist","Developer","{Docker,PostgreSQL,Go,GraphQL,Vue.js}",Junior,1
874,"Full Stack Engineer","Design","{TypeScript,Framer,Pandas}",Senior,5
875,"Frontend Engineer","Design","{Kubernetes,After Effects,Python,Next.js,Framer,PostgreSQL}",Lead,11
876,"Tester","Developer","{Figma,React,Affinity,Next.js,Data Bricks,Docker}",Lead,9
877,"Site Reliability Engineer","Infrastructure","{After Effects,Node.js,Terraform,Python,PostgreSQL}",Junior,1
878,"UI/UX Designer","Data & AI","{Pandas,Node.js,Blender,Photoshop,Vue.js}",Mid,4
879,"Tester","Product","{TensorFlow,Python,Docker,React,Figma,GraphQL}",Senior,7
880,"Game Developer","Data & AI","{Blender,After Effects,Vue.js,Tailwind CSS,Node.js}",Mid,3
881,"Site Reliability Engineer","Product","{React,Pandas,Framer,PostgreSQL,GSAP}",Lead,11
882,"Full Stack Engineer","Developer","{AWS,Next.js,React,Tailwind CSS,Framer}",Lead,8
883,"Full Stack Engineer","Marketing","{Sass,Kubernetes,Docker,TypeScript,Terraform,Photoshop}",Lead,8
884,"Backend Developer","Infrastructure","{Python,Tailwind CSS,Docker,AWS}",Junior,0
885,"Site Reliability Engineer","Engineering","{Python,Framer,PostgreSQL,Docker}",Lead,11
886,"DevOps Specialist","Infrastructure","{GSAP,Node.js,Figma,Framer,Python,Vue.js}",Junior,1
887,"Data Scientist","Design","{GraphQL,Tailwind CSS,React}",Junior,1
888,"UI/UX Designer","Developer","{After Effects,AWS,Python,Blender,Sass,PostgreSQL}",Junior,1
889,"Backend Developer","Developer","{TensorFlow,React,Kubernetes,Terraform}",Senior,5
890,"Mobile Developer","Engineering","{Figma,GraphQL,Kubernetes,React,Pandas}",Senior,6
891,"UI/UX Designer","Developer","{TypeScript,Figma,React,Blender,AWS,Data Bricks}",Lead,10
892,"Game Developer","Marketing","{Node.js,Blender,GraphQL,Next.js,After Effects,Photoshop}",Mid,3
893,"Site Reliability Engineer","Marketing","{After Effects,Pandas,Docker}",Junior,1
894,"UI/UX Designer","Marketing","{Python,React,Figma,TypeScript,Affinity,Vue.js}",Junior,1
895,"AI & ML Engineer","Data & AI","{Docker,After Effects,React,Redis}",Junior,0
896,"Site Reliability Engineer","Infrastructure","{TypeScript,PostgreSQL,AWS,Data Bricks,Framer}",Lead,11
897,"Backend Developer","Engineering","{Python,Sass,Pandas}",Junior,1
898,"Frontend Engineer","Infrastructure","{PostgreSQL,Vue.js,Redis,Framer,TensorFlow,Next.js}",Senior,7
899,"Game Developer","Marketing","{Blender,Node.js,Go,Next.js,Data Bricks,Python}",Junior,0
900,"Full Stack Engineer","Data & AI","{Affinity,Python,Data Bricks,Tailwind CSS}",Lead,9
901,"DevOps Specialist","Developer","{Go,Terraform,Sass,Node.js,GSAP}",Mid,2
902,"Backend Developer","Data & AI","{GraphQL,Next.js,AWS}",Junior,1
903,"AI & ML Engineer","Developer","{React,Redis,Data Bricks,Docker}",Junior,1
904,"UI/UX Designer","Data & AI","{Python,React,AWS}",Junior,0
905,"Full Stack Engineer","Developer","{GraphQL,Python,TypeScript,Sass,After Effects}",Junior,1
906,"Data Scientist","Product","{GraphQL,Python,Go,Kubernetes,Framer,TypeScript}",Junior,1
907,"Backend Developer","Design","{GraphQL,GSAP,Docker,Redis}",Mid,3
908,"Game Developer","Data & AI","{Data Bricks,AWS,Photoshop,Sass,Figma}",Mid,2
909,"Frontend Engineer","Developer","{Figma,Tailwind CSS,GraphQL,Sass,Vue.js}",Junior,0
910,"Mobile Developer","Developer","{Photoshop,AWS,Affinity,Node.js,PostgreSQL,Go}",Junior,1
911,"DevOps Specialist","Product","{Node.js,Python,Blender,Vue.js}",Mid,2
912,"AI & ML Engineer","Developer","{React,Figma,Photoshop,PostgreSQL,Python,After Effects}",Junior,0
